cup,start_val,safe,state,debt,born,unsafe,wiped,bitten,shut,safe again,# oscillations,transition0,transition0_time,transition1,transition1_time,transition2,transition2_time,transition3,transition3_time,transition4,transition4_time,transition5,transition5_time,transition6,transition6_time,transition7,transition7_time
341,1000,TRUE,open,1000,1549457672,,,,,,0,,,,,,,,,,,,,,,,
3050,800,TRUE,wiped,0,1549455568,,1549469848,,,,0,wipe,1549469848,,,,,,,,,,,,,,
14308,260,TRUE,open,260,1549454501,,,,,,0,,,,,,,,,,,,,,,,
14244,30000,TRUE,open,30000,1549453771,,,,,,0,,,,,,,,,,,,,,,,
14219,100,TRUE,open,100,1549452440,,,,,,0,,,,,,,,,,,,,,,,
1909,292,TRUE,open,292,1549451204,,,,,,0,,,,,,,,,,,,,,,,
13414,2000,TRUE,open,2000,1549450932,,,,,,0,,,,,,,,,,,,,,,,
4655,100,TRUE,open,100,1549450767,,,,,,0,,,,,,,,,,,,,,,,
12815,2000,TRUE,open,2000,1549450619,,,,,,0,,,,,,,,,,,,,,,,
14238,150,TRUE,open,150,1549450522,,,,,,0,,,,,,,,,,,,,,,,
14342,65,TRUE,open,65,1549449711,,,,,,0,,,,,,,,,,,,,,,,
5116,10000,TRUE,open,10000,1549447395,,,,,,0,,,,,,,,,,,,,,,,
14175,10,TRUE,open,10,1549446291,,,,,,0,,,,,,,,,,,,,,,,
4022,400,TRUE,open,400,1549446077,,,,,,0,,,,,,,,,,,,,,,,
4265,9000,TRUE,open,9000,1549444747,,,,,,0,,,,,,,,,,,,,,,,
12812,500,TRUE,open,500,1549443222,,,,,,0,,,,,,,,,,,,,,,,
2156,200,TRUE,open,200,1549442819,,,,,,0,,,,,,,,,,,,,,,,
14341,5000,TRUE,open,5000,1549442375,,,,,,0,,,,,,,,,,,,,,,,
4531,60,TRUE,open,60,1549442375,,,,,,0,,,,,,,,,,,,,,,,
5133,500,TRUE,wiped,0,1549441030,,1549441138,,,,0,wipe,1549441138,,,,,,,,,,,,,,
3670,105,TRUE,open,105,1549440486,,,,,,0,,,,,,,,,,,,,,,,
5308,500,TRUE,open,500,1549440247,,,,,,0,,,,,,,,,,,,,,,,
5133,500,TRUE,wiped,0,1549439948,,1549441138,,,,0,wipe,1549441138,,,,,,,,,,,,,,
14340,115,TRUE,open,115,1549439921,,,,,,0,,,,,,,,,,,,,,,,
4865,5000,TRUE,open,5000,1549439845,,,,,,0,,,,,,,,,,,,,,,,
14308,200,TRUE,open,200,1549438361,,,,,,0,,,,,,,,,,,,,,,,
14339,106.3646208,FALSE,wiped,0,1549438217,1549481058,1549481058,,,,1,FALSE,1549481058,wipe,1549481058,,,,,,,,,,,,
5488,3500,TRUE,open,3500,1549436901,,,,,,0,,,,,,,,,,,,,,,,
14031,250,TRUE,open,250,1549430287,,,,,,0,,,,,,,,,,,,,,,,
14308,220,TRUE,open,220,1549430287,,,,,,0,,,,,,,,,,,,,,,,
14338,5,TRUE,open,5,1549430213,,,,,,0,,,,,,,,,,,,,,,,
14337,0.001,TRUE,open,0.001,1549429213,,,,,,0,,,,,,,,,,,,,,,,
4244,400,TRUE,open,400,1549429148,,,,,,0,,,,,,,,,,,,,,,,
14336,414.864754,TRUE,open,414.864754,1549429073,,,,,,0,,,,,,,,,,,,,,,,
13995,30000,TRUE,open,30000,1549428994,,,,,,0,,,,,,,,,,,,,,,,
5133,1000,TRUE,wiped,0,1549428837,,1549430632,,,,0,wipe,1549430632,,,,,,,,,,,,,,
14335,5,TRUE,open,5,1549428764,,,,,,0,,,,,,,,,,,,,,,,
14330,250,TRUE,open,250,1549426412,,,,,,0,,,,,,,,,,,,,,,,
14334,2000,TRUE,open,2000,1549425507,,,,,,0,,,,,,,,,,,,,,,,
14327,0.002,FALSE,wiped,0,1549424705,1549429461,1549429461,,,,1,FALSE,1549429461,wipe,1549429461,,,,,,,,,,,,
5219,6000,TRUE,open,6000,1549424446,,,,,,0,,,,,,,,,,,,,,,,
14327,0.001,TRUE,wiped,0,1549424385,,1549424493,,,,0,wipe,1549424493,,,,,,,,,,,,,,
14330,400,TRUE,open,400,1549423903,,,,,,0,,,,,,,,,,,,,,,,
14333,500,TRUE,open,500,1549423651,,,,,,0,,,,,,,,,,,,,,,,
14332,15,TRUE,open,15,1549423469,,,,,,0,,,,,,,,,,,,,,,,
14330,150,TRUE,open,150,1549423375,,,,,,0,,,,,,,,,,,,,,,,
12852,120,TRUE,open,120,1549422908,,,,,,0,,,,,,,,,,,,,,,,
14329,5.4,TRUE,open,5.4,1549421531,,,,,,0,,,,,,,,,,,,,,,,
14330,260,TRUE,open,260,1549421491,,,,,,0,,,,,,,,,,,,,,,,
14231,1000,TRUE,open,1000,1549421395,,,,,,0,,,,,,,,,,,,,,,,
14331,1800,TRUE,wiped,1600,1549420827,,1549423518,,,,0,wipe,1549423518,,,,,,,,,,,,,,
5308,1000,TRUE,open,1000,1549420553,,,,,,0,,,,,,,,,,,,,,,,
4955,37,TRUE,open,37,1549420256,,,,,,0,,,,,,,,,,,,,,,,
14330,670,TRUE,open,670,1549420068,,,,,,0,,,,,,,,,,,,,,,,
384,82,TRUE,open,82,1549419666,,,,,,0,,,,,,,,,,,,,,,,
3608,21000,TRUE,wiped,0,1549418929,,1549429456,,,,0,wipe,1549429456,,,,,,,,,,,,,,
14330,1170,TRUE,open,1170,1549418755,,,,,,0,,,,,,,,,,,,,,,,
5116,10000,TRUE,open,10000,1549418743,,,,,,0,,,,,,,,,,,,,,,,
4306,400,TRUE,open,400,1549418689,,,,,,0,,,,,,,,,,,,,,,,
384,80,TRUE,open,80,1549417798,,,,,,0,,,,,,,,,,,,,,,,
12869,3000,TRUE,wiped,0,1549417578,,1549432323,,,,0,wipe,1549432323,,,,,,,,,,,,,,
4357,2500,TRUE,open,2500,1549416979,,,,,,0,,,,,,,,,,,,,,,,
12837,5000,TRUE,open,5000,1549416890,,,,,,0,,,,,,,,,,,,,,,,
14238,50,TRUE,wiped,1,1549416890,,1549417162,,,,0,wipe,1549417162,,,,,,,,,,,,,,
14329,11.1,TRUE,open,11.1,1549415997,,,,,,0,,,,,,,,,,,,,,,,
14014,500,TRUE,open,500,1549414189,,,,,,0,,,,,,,,,,,,,,,,
4447,80,TRUE,open,80,1549413793,,,,,,0,,,,,,,,,,,,,,,,
14328,430,TRUE,open,430,1549413200,,,,,,0,,,,,,,,,,,,,,,,
5594,5000,TRUE,wiped,4000,1549412485,,1549419666,,,,0,wipe,1549419666,,,,,,,,,,,,,,
14184,5,TRUE,open,5,1549411667,,,,,,0,,,,,,,,,,,,,,,,
4895,7500,TRUE,open,7500,1549410358,,,,,,0,,,,,,,,,,,,,,,,
5430,100,TRUE,wiped,0,1549409675,,1549422754,,,,0,wipe,1549422754,,,,,,,,,,,,,,
14265,100,TRUE,wiped,92.1,1549409548,,1549472425,,,,0,wipe,1549472425,,,,,,,,,,,,,,
14327,0.001,TRUE,wiped,0,1549409406,,1549409951,,,,0,wipe,1549409951,,,,,,,,,,,,,,
328,70,TRUE,open,70,1549409319,,,,,,0,,,,,,,,,,,,,,,,
3903,8000,TRUE,open,8000,1549409219,,,,,,0,,,,,,,,,,,,,,,,
1307,10,TRUE,open,10,1549408941,,,,,,0,,,,,,,,,,,,,,,,
328,220,TRUE,open,220,1549408579,,,,,,0,,,,,,,,,,,,,,,,
14327,0.01,TRUE,wiped,0.009,1549408229,,1549409951,,,,0,wipe,1549409951,,,,,,,,,,,,,,
14308,100,TRUE,open,100,1549404762,,,,,,0,,,,,,,,,,,,,,,,
14308,165,TRUE,open,165,1549404543,,,,,,0,,,,,,,,,,,,,,,,
1884,500,TRUE,open,500,1549404425,,,,,,0,,,,,,,,,,,,,,,,
14326,122,TRUE,open,122,1549403211,,,,,,0,,,,,,,,,,,,,,,,
14325,14000,TRUE,open,14000,1549401759,,,,,,0,,,,,,,,,,,,,,,,
14325,1000,TRUE,open,1000,1549401105,,,,,,0,,,,,,,,,,,,,,,,
14324,20.83134375,TRUE,shut,20.83134375,1549400842,,,,1549400983,,0,shut,1549400983,,,,,,,,,,,,,,
14322,3550,TRUE,open,3550,1549400707,,,,,,0,,,,,,,,,,,,,,,,
14323,800,TRUE,open,800,1549399924,,,,,,0,,,,,,,,,,,,,,,,
5439,1.3,TRUE,wiped,0,1549399748,,1549424385,,,,0,wipe,1549424385,,,,,,,,,,,,,,
5439,0.0145,TRUE,wipe,0.0145,1549399662,,1549424385,,,,0,wipe,1549424385,,,,,,,,,,,,,,
14322,50,TRUE,open,50,1549399572,,,,,,0,,,,,,,,,,,,,,,,
14321,20,TRUE,open,20,1549398584,,,,,,0,,,,,,,,,,,,,,,,
5288,800,TRUE,open,800,1549398574,,,,,,0,,,,,,,,,,,,,,,,
14320,16.83589202,TRUE,open,16.83589202,1549398493,,,,,,0,,,,,,,,,,,,,,,,
12822,500,TRUE,open,500,1549397806,,,,,,0,,,,,,,,,,,,,,,,
4555,400,TRUE,open,400,1549397005,,,,,,0,,,,,,,,,,,,,,,,
14319,2,TRUE,open,2,1549396854,,,,,,0,,,,,,,,,,,,,,,,
14318,1.9839375,TRUE,shut,1.9839375,1549396376,,,,1549400026,,0,shut,1549400026,,,,,,,,,,,,,,
14317,0.99196875,TRUE,shut,0.99196875,1549395166,,,,1549396005,,0,shut,1549396005,,,,,,,,,,,,,,
12811,26,TRUE,open,26,1549393429,,,,,,0,,,,,,,,,,,,,,,,
14316,268,TRUE,open,268,1549390560,,,,,,0,,,,,,,,,,,,,,,,
5186,10000,TRUE,open,10000,1549389483,,,,,,0,,,,,,,,,,,,,,,,
5760,270,TRUE,wiped,71,1549388781,,1549406232,,,,0,wipe,1549406232,,,,,,,,,,,,,,
14315,6,TRUE,wiped,0,1549388496,,1549418638,,,,0,wipe,1549418638,,,,,,,,,,,,,,
14315,50,TRUE,wipe,50,1549387966,,1549418638,,,,0,wipe,1549418638,,,,,,,,,,,,,,
13953,3000,TRUE,open,3000,1549386365,,,,,,0,,,,,,,,,,,,,,,,
5431,1800,TRUE,open,1800,1549385934,,,,,,0,,,,,,,,,,,,,,,,
14314,0.3,TRUE,wiped,0,1549385548,,1549388324,,,,0,wipe,1549388324,,,,,,,,,,,,,,
14313,1.5,TRUE,open,1.5,1549384989,,,,,,0,,,,,,,,,,,,,,,,
14289,0.009503,TRUE,open,0.009503,1549384095,,,,,,0,,,,,,,,,,,,,,,,
14297,0.851,TRUE,open,0.851,1549383432,,,,,,0,,,,,,,,,,,,,,,,
14297,1,TRUE,open,1,1549382750,,,,,,0,,,,,,,,,,,,,,,,
4171,500,TRUE,open,500,1549382163,,,,,,0,,,,,,,,,,,,,,,,
3036,250,TRUE,open,250,1549381852,,,,,,0,,,,,,,,,,,,,,,,
5250,300,TRUE,open,300,1549381460,,,,,,0,,,,,,,,,,,,,,,,
14312,0.5,FALSE,wiped,0,1549381412,1549381622,1549381622,,,,1,FALSE,1549381622,wipe,1549381622,,,,,,,,,,,,
14292,50,TRUE,wiped,31,1549381259,,1549406546,,,,0,wipe,1549406546,,,,,,,,,,,,,,
14311,5,TRUE,open,5,1549381038,,,,,,0,,,,,,,,,,,,,,,,
13850,339.9808528,TRUE,wiped,133.3663547,1549380086,,1549415905,,,,0,wipe,1549415905,,,,,,,,,,,,,,
13850,508.2282149,TRUE,wiped,301.6137168,1549380055,,1549415905,,,,0,wipe,1549415905,,,,,,,,,,,,,,
13850,156.4493759,TRUE,wiped,0,1549379956,,1549415905,,,,0,wipe,1549415905,,,,,,,,,,,,,,
14289,0.003091,TRUE,open,0.003091,1549378827,,,,,,0,,,,,,,,,,,,,,,,
14289,0.2,TRUE,open,0.2,1549378195,,,,,,0,,,,,,,,,,,,,,,,
14310,11000,TRUE,open,11000,1549376096,,,,,,0,,,,,,,,,,,,,,,,
14309,1000,TRUE,open,1000,1549375202,,,,,,0,,,,,,,,,,,,,,,,
14308,50,TRUE,open,50,1549375196,,,,,,0,,,,,,,,,,,,,,,,
14309,80,TRUE,open,80,1549374405,,,,,,0,,,,,,,,,,,,,,,,
2619,300,TRUE,open,300,1549374232,,,,,,0,,,,,,,,,,,,,,,,
14308,1,TRUE,open,1,1549373796,,,,,,0,,,,,,,,,,,,,,,,
14212,9,FALSE,bite,9,1549373603,1549415910,,1549415910,,,1,FALSE,1549415910,bite,1549415910,,,,,,,,,,,,
14289,0.2,FALSE,wiped,0,1549373442,1549377396,1549377396,,,,1,FALSE,1549377396,wipe,1549377396,,,,,,,,,,,,
5308,740,TRUE,open,740,1549372216,,,,,,0,,,,,,,,,,,,,,,,
3332,365,TRUE,wiped,0,1549371846,,1549416864,,,,0,wipe,1549416864,,,,,,,,,,,,,,
14289,0.142233,FALSE,wiped,0,1549367088,1549367191,1549367191,,,,1,FALSE,1549367191,wipe,1549367191,,,,,,,,,,,,
5831,130,TRUE,wiped,0,1549366539,,1549379536,,,,0,wipe,1549379536,,,,,,,,,,,,,,
14289,0.2,FALSE,wipe,0.2,1549366514,1549367191,1549367191,,,,1,FALSE,1549367191,wipe,1549367191,,,,,,,,,,,,
5831,177,TRUE,wiped,47,1549366206,,1549366469,,,,0,wipe,1549366469,,,,,,,,,,,,,,
3352,5000,TRUE,wiped,0,1549365117,,1549442864,,,,0,wipe,1549442864,,,,,,,,,,,,,,
4357,1000,TRUE,open,1000,1549363476,,,,,,0,,,,,,,,,,,,,,,,
14307,10,TRUE,open,10,1549362994,,,,,,0,,,,,,,,,,,,,,,,
5488,3000,TRUE,wiped,0,1549361219,,1549418378,,,,0,wipe,1549418378,,,,,,,,,,,,,,
14306,1,TRUE,open,1,1549359668,,,,,,0,,,,,,,,,,,,,,,,
869,250,TRUE,open,250,1549359254,,,,,,0,,,,,,,,,,,,,,,,
5308,700,TRUE,open,700,1549357947,,,,,,0,,,,,,,,,,,,,,,,
14305,2,TRUE,open,2,1549356911,,,,,,0,,,,,,,,,,,,,,,,
13808,550,TRUE,open,550,1549352531,,,,,,0,,,,,,,,,,,,,,,,
14302,1500,TRUE,open,1500,1549351362,,,,,,0,,,,,,,,,,,,,,,,
5133,500,TRUE,wiped,0,1549350975,,1549384656,,,,0,wipe,1549384656,,,,,,,,,,,,,,
13651,46,TRUE,wiped,0,1549350470,,1549440430,,,,0,wipe,1549440430,,,,,,,,,,,,,,
14304,2000,TRUE,open,2000,1549348664,,,,,,0,,,,,,,,,,,,,,,,
14303,2,TRUE,open,2,1549347428,,,,,,0,,,,,,,,,,,,,,,,
14302,1500,TRUE,open,1500,1549346107,,,,,,0,,,,,,,,,,,,,,,,
14301,20000,TRUE,open,20000,1549344772,,,,,,0,,,,,,,,,,,,,,,,
4473,1000,TRUE,open,1000,1549344518,,,,,,0,,,,,,,,,,,,,,,,
14250,500,TRUE,open,500,1549342938,,,,,,0,,,,,,,,,,,,,,,,
5308,500,TRUE,open,500,1549342584,,,,,,0,,,,,,,,,,,,,,,,
14242,800,TRUE,open,800,1549338633,,,,,,0,,,,,,,,,,,,,,,,
14300,0.12,FALSE,open,0.12,1549338436,1549341504,,,,,0,FALSE,1549341504,,,,,,,,,,,,,,
14300,2,FALSE,open,2,1549338297,1549341504,,,,,0,FALSE,1549341504,,,,,,,,,,,,,,
5653,390,TRUE,open,390,1549336852,,,,,,0,,,,,,,,,,,,,,,,
5760,400,TRUE,wiped,80,1549336600,,1549368585,,,,0,wipe,1549368585,,,,,,,,,,,,,,
1600,77,TRUE,open,77,1549332231,,,,,,0,,,,,,,,,,,,,,,,
14299,4500,TRUE,open,4500,1549328987,,,,,,0,,,,,,,,,,,,,,,,
4728,250,TRUE,wiped,145,1549327430,,1549341504,,,,0,wipe,1549341504,,,,,,,,,,,,,,
14298,5,TRUE,open,5,1549327050,,,,,,0,,,,,,,,,,,,,,,,
14292,60,TRUE,wiped,41,1549324386,,1549406546,,,,0,wipe,1549406546,,,,,,,,,,,,,,
131,650,TRUE,wiped,580,1549323980,,1549449162,,,,0,wipe,1549449162,,,,,,,,,,,,,,
14291,3,TRUE,wiped,0,1549323686,,1549323780,,,,0,wipe,1549323780,,,,,,,,,,,,,,
14297,5,TRUE,wiped,4,1549323192,,1549382438,,,,0,wipe,1549382438,,,,,,,,,,,,,,
5539,25,TRUE,wiped,0.0145252,1549320462,,1549320520,,,,0,wipe,1549320520,,,,,,,,,,,,,,
5174,2000,TRUE,open,2000,1549319654,,,,,,0,,,,,,,,,,,,,,,,
5760,300,TRUE,wiped,0,1549319204,,1549368585,,,,0,wipe,1549368585,,,,,,,,,,,,,,
14296,6.5,TRUE,open,6.5,1549318925,,,,,,0,,,,,,,,,,,,,,,,
14281,280,TRUE,open,280,1549318783,,,,,,0,,,,,,,,,,,,,,,,
14295,2,FALSE,wiped,0,1549317648,1549318698,1549318698,,,,1,FALSE,1549318698,wipe,1549318698,,,,,,,,,,,,
4991,1100,TRUE,open,1100,1549317638,,,,,,0,,,,,,,,,,,,,,,,
14294,300,TRUE,open,300,1549315864,,,,,,0,,,,,,,,,,,,,,,,
5760,225,TRUE,wipe,225,1549315669,,1549368585,,,,0,wipe,1549368585,,,,,,,,,,,,,,
4540,200,TRUE,open,200,1549314275,,,,,,0,,,,,,,,,,,,,,,,
14293,0.3,TRUE,wiped,0.2,1549314172,,1549316574,,,,0,wipe,1549316574,,,,,,,,,,,,,,
496,400,TRUE,open,400,1549312174,,,,,,0,,,,,,,,,,,,,,,,
14177,333.13,TRUE,open,333.13,1549310916,,,,,,0,,,,,,,,,,,,,,,,
1147,200,TRUE,open,200,1549310566,,,,,,0,,,,,,,,,,,,,,,,
14265,150,TRUE,wiped,142.1,1549309868,,1549472425,,,,0,wipe,1549472425,,,,,,,,,,,,,,
14292,90,TRUE,wiped,71,1549309715,,1549406546,,,,0,wipe,1549406546,,,,,,,,,,,,,,
14291,4,TRUE,wiped,0,1549309681,,1549318783,,,,0,wipe,1549318783,,,,,,,,,,,,,,
14290,380000,TRUE,open,380000,1549308940,,,,,,0,,,,,,,,,,,,,,,,
5488,3000,TRUE,wiped,0,1549308422,,1549418378,,,,0,wipe,1549418378,,,,,,,,,,,,,,
14286,1400,TRUE,open,1400,1549308267,,,,,,0,,,,,,,,,,,,,,,,
14208,80,TRUE,open,80,1549308055,,,,,,0,,,,,,,,,,,,,,,,
14289,0.015,TRUE,wiped,0,1549308048,,1549357165,,,,0,wipe,1549357165,,,,,,,,,,,,,,
14289,0.2,TRUE,wipe,0.2,1549306506,,1549357165,,,,0,wipe,1549357165,,,,,,,,,,,,,,
14288,10,TRUE,wiped,0,1549305145,,1549311142,,,,0,wipe,1549311142,,,,,,,,,,,,,,
14265,170,TRUE,wiped,162.1,1549304704,,1549472425,,,,0,wipe,1549472425,,,,,,,,,,,,,,
14287,5,TRUE,open,5,1549304620,,,,,,0,,,,,,,,,,,,,,,,
14265,222,TRUE,wiped,214.1,1549303248,,1549472425,,,,0,wipe,1549472425,,,,,,,,,,,,,,
